timestamp,eventType,mazeNumber,attemptNumber,collectedCoins,totalCoins,totalScore,mazeElapsedTime,totalGameElapsedTime,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ,playerPositionX,playerPositionY,playerPositionZ,playerRotationY,rightThumbstickX,rightThumbstickY,rightTrigger,leftThumbstickX,leftThumbstickY,leftTrigger
35.02685,DATA,1,1,0,10,0,19.3846912,19.3846912,-7.2845335,1.35734844,-8.4555,4.182027,-24.20752,0.6052231,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0818863,DATA,1,1,0,10,0,19.4397259,19.4397259,-7.28449869,1.35737586,-8.455511,4.18675,-24.2090454,0.59059,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.13673,DATA,1,1,0,10,0,19.49457,19.49457,-7.28449631,1.357383,-8.455525,4.173563,-24.2002563,0.6072152,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.1928024,DATA,1,1,0,10,0,19.550642,19.550642,-7.2844944,1.35736632,-8.455556,4.1833396,-24.2107544,0.5963886,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.248,DATA,1,1,0,10,0,19.60584,19.60584,-7.284537,1.35732782,-8.455688,4.17590666,-24.2114868,0.600326061,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.30327,DATA,1,1,0,10,0,19.661108,19.661108,-7.2845645,1.35730159,-8.455663,4.177548,-24.2053223,0.613462746,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.3596077,DATA,1,1,0,10,0,19.7174473,19.7174473,-7.28451538,1.357276,-8.45582,4.16951656,-24.2089233,0.5930663,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.41562,DATA,1,1,0,10,0,19.7734585,19.7734585,-7.28454542,1.35724962,-8.455793,4.17035532,-24.2044373,0.6120354,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.4704437,DATA,1,1,0,10,0,19.8282833,19.8282833,-7.284519,1.35720813,-8.455896,4.17038774,-24.2096252,0.6001461,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.5261345,DATA,1,1,0,10,0,19.8839741,19.8839741,-7.284535,1.35716724,-8.455871,4.167071,-24.2073669,0.6156652,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.58326,DATA,1,1,0,10,0,19.9411,19.9411,-7.284517,1.35720229,-8.455918,4.17072439,-24.2067871,0.600617051,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.63575,DATA,1,1,0,10,0,19.99359,19.99359,-7.28455448,1.35715914,-8.455892,4.164567,-24.20279,0.6201947,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.6941528,DATA,1,1,0,10,0,20.0519924,20.0519924,-7.284563,1.35710967,-8.455942,4.17133331,-24.2041016,0.605106354,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.7484245,DATA,1,1,0,10,0,20.1062641,20.1062641,-7.28459358,1.35705209,-8.455915,4.16256428,-24.2009277,0.616233,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.80357,DATA,1,1,0,10,0,20.16141,20.16141,-7.28457069,1.357173,-8.455834,4.16647339,-24.2038574,0.6159062,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.8589821,DATA,1,1,0,10,0,20.2168217,20.2168217,-7.284567,1.35723245,-8.455774,4.164278,-24.20633,0.6114188,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.9146461,DATA,1,1,0,10,0,20.2724857,20.2724857,-7.284617,1.35719216,-8.455846,4.1643157,-24.2012024,0.6196382,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.96993,DATA,1,1,0,10,0,20.3277683,20.3277683,-7.28466034,1.35713351,-8.455974,4.15939,-24.1968079,0.6126557,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0257874,DATA,1,1,0,10,0,20.3836269,20.3836269,-7.284695,1.35711026,-8.45593,4.16105461,-24.1972046,0.621546,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.08263,DATA,1,1,0,10,0,20.44047,20.44047,-7.28462029,1.35712552,-8.455838,4.162384,-24.20337,0.60696435,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.1366119,DATA,1,1,0,10,0,20.4944515,20.4944515,-7.28465652,1.35708451,-8.455773,4.16234636,-24.2013245,0.6202802,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.19262,DATA,1,1,0,10,0,20.5504589,20.5504589,-7.28470469,1.356982,-8.456032,4.16102,-24.1970825,0.613963068,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.24722,DATA,1,1,0,10,0,20.6050587,20.6050587,-7.28472233,1.35693622,-8.455983,4.15830469,-24.1984863,0.6178824,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.3033142,DATA,1,1,0,10,0,20.6611538,20.6611538,-7.284655,1.35690653,-8.456003,4.15800428,-24.19925,0.619798243,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.359066,DATA,1,1,0,10,0,20.7169056,20.7169056,-7.284667,1.35684788,-8.45593548,4.161907,-24.1973267,0.616462946,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.41493,DATA,1,1,0,10,0,20.772768,20.772768,-7.28458071,1.35705137,-8.455811,4.159155,-24.19403,0.6136659,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.46959,DATA,1,1,0,10,0,20.8274288,20.8274288,-7.28456974,1.35702586,-8.455714,4.15913343,-24.19754,0.6191257,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.5255241,DATA,1,1,0,10,0,20.8833637,20.8833637,-7.284623,1.35706317,-8.455789,4.155135,-24.1911926,0.625226736,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.58186,DATA,1,1,0,10,0,20.9397,20.9397,-7.28465366,1.35707843,-8.455763,4.15819931,-24.1941223,0.6218447,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.63641,DATA,1,1,0,10,0,20.99425,20.99425,-7.28467274,1.35706449,-8.455763,4.1532383,-24.1960144,0.623016238,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.6922035,DATA,1,1,0,10,0,21.0500431,21.0500431,-7.28470373,1.35705328,-8.455822,4.149759,-24.1914063,0.6224974,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.748024,DATA,1,1,0,10,0,21.1058636,21.1058636,-7.284713,1.3570497,-8.455786,4.14670944,-24.1965332,0.6222136,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.80324,DATA,1,1,0,10,0,21.1610813,21.1610813,-7.284731,1.35708427,-8.455884,4.148831,-24.1944885,0.623334944,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.8590622,DATA,1,1,0,10,0,21.2169018,21.2169018,-7.28476,1.35707748,-8.45579,4.14539146,-24.188324,0.624777734,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.91488,DATA,1,1,0,10,0,21.2727184,21.2727184,-7.284756,1.357098,-8.455916,4.14754,-24.1893,0.6278033,-8.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
